video_index,video_title,content_irrelevant,bgm,narrator,jump_cut
242,Melbourne Australia City Walk in Summer 2026,None,None,None,Preview
441,Melbourne City at Night Melbourne Aboriginal NAIDOC Spirits of the Land,None,None,None,A few times across the video
260,Melbourne Australia City Walkthrough 4K Video,None,None,None,"Preview, a few times across the video"
546,Melbourne City Walk Along Bourke Street from Bourke St Mall to Southern Cross Station 4K,None,Start few minutes,None,Preview
848,Walking In The City Melbourne Australia 4K HDR,None,None,None,Once
264,Melbourne Australia Day and Night Walk in May 2025 4K Video,None,None,None,"Preview, once"
765,SUNDAY WALK MELBOURNE CBD,None,None,None,None
789,WALK IN DANDENONG CITY MELBOURNE AUSTRALIA NOVEMBER 2021,None,None,None,None
293,Melbourne Australia in Summer Evening Walking Tour 4K Video 2025,None,None,None,Preview
442,Melbourne City at Night Saturday Tour,None,None,None,Preview
375,Melbourne CBD - Little Bourke Street Walking Tour,None,None,None,None
351,Melbourne Australia Walking Tour In April 2025 Night Walk In Melbourne 4K,None,None,None,"Preview, a few times across the video"
138,EXPLORING THE STREETS OF MELBOURNE,None,None,None,None
437,Melbourne City at Night After Taylor Swift Concert The Eras Tour 2024,None,None,None,None
667,Melbourne Summer Night Market is Back Queen Victoria Market,Semi-indoor - Market,None,None,None
173,LITTLE BOURKE STREET MELBOURNE AUSTRALIA WALKING CENTRAL BUSINESS DISTRICT CBD,None,None,None,None
192,Melbourne African Festival 2023,Semi-indoor - Market,None,None,Preview
614,Melbourne Is Reopening Saturday Walking In The City Melbourne Australia 4K UHD,None,None,None,None
104,Evening Walk in the City Melbourne Australia 2023,None,None,None,None
904,Walkthrough One of Melbourne s Busiest Train Station - Southern Cross Station,Indoor - Train station,None,None,Preview
849,Walking In The City Melbourne Australia 4K UHD,None,None,None,None
650,Melbourne Saturday Afternoon Walk in the City Australia 4K,None,None,None,Preview
479,Melbourne City Evening Walk-4K,None,Preview,None,"Preview, once"
403,Melbourne CBD Walk La Trobe St to Exhibition St Lanes City Streets,None,None,None,None
705,Night Walking On Weekend Melbourne Australia 4K UHD 60FPS,None,None,None,None
703,NICE DAY WALKING TOUR IN MELBOURNE CITY AUSTRALIA,None,None,None,None
284,Melbourne Australia in January 2025 4K Video,Driving perspective,None,None,Preview
